dataset_id,model,train_mse,test_mse
102,RandomForest,0.012277144968002914,0.016101718127077183
102,GradientBoosting,0.0011262889501093508,0.015940111218613873
102,SVR,0.2926890232772563,0.16471091269538665
103,RandomForest,0.0028549852167433364,0.025461813772739962
103,GradientBoosting,0.0033447841741238455,0.025666905373879324
103,SVR,0.04460735157222155,0.11350876467032371
105,RandomForest,0.014137144458440125,0.038429468604253926
105,GradientBoosting,0.00847328225248082,0.04054401895263101
105,SVR,0.05944969622967877,0.04674677639218566
110,RandomForest,0.00329304093723248,0.01756313359888024
110,GradientBoosting,0.009299894323833904,0.0132404727755247
110,SVR,0.07016197549021554,0.02534348585994135
115,RandomForest,0.0011885284246306333,0.007460098575047448
115,GradientBoosting,0.0020532214892823313,0.0067444344481063165
115,SVR,0.02204071461796652,0.1453497365405323
118,RandomForest,0.0034070704155345546,0.2566218191789554
118,GradientBoosting,0.004463287065723026,0.22490334270298393
118,SVR,0.007634226125761972,0.008074667076829828
12,RandomForest,0.02613732785388827,0.07411418921863219
12,GradientBoosting,0.04183569754781263,0.0678678172500027
12,SVR,0.050009358040235735,0.07660452921419804
131,RandomForest,0.005039835339193303,0.11298546539697518
131,GradientBoosting,0.006984696604294782,0.10697857632150139
131,SVR,0.008858031253342339,0.015220244846673836
141,RandomForest,0.01740159762728085,0.12076961096239014
141,GradientBoosting,0.014945978785536624,0.12522413490537632
141,SVR,0.056555244683953336,0.1291771130509105
151,RandomForest,0.0007326614258171222,0.08340620229602069
151,GradientBoosting,0.00023286554013287374,0.12265946156590526
151,SVR,0.004000811074517936,0.0029027927613036104
153,RandomForest,0.0016473417411483854,0.03767515104215404
153,GradientBoosting,0.0021437432947281998,0.044216029080358814
153,SVR,0.004686994143534282,0.0036620796804943904
155,RandomForest,0.011266165955872261,0.024957014410252443
155,GradientBoosting,0.027724313595823356,0.02741429679869779
155,SVR,0.058452821192743615,0.04683793941636559
161,RandomForest,0.011925699114776452,0.09022105153324456
161,GradientBoosting,0.030779389432199974,0.08193572304358006
161,SVR,0.05253182832483836,0.08833118406969041
165,RandomForest,0.003998571806215297,0.012341194159188393
165,GradientBoosting,0.006729362475866242,0.014684174568921257
165,SVR,0.011091077045944375,0.00953803992506692
176,RandomForest,0.027965752772503124,0.1789425677267204
176,GradientBoosting,0.009152584901345646,0.22444402574628194
176,SVR,0.08159101968485834,0.15920044779181025
177,RandomForest,0.0020622109131499043,0.005835245314976482
177,GradientBoosting,0.003669804846535997,0.004947860555177535
177,SVR,0.004020918801795032,0.0028396078967850642
185,RandomForest,0.0020363350942089664,0.022727107022082187
185,GradientBoosting,0.0027878853296622375,0.033151836125423745
185,SVR,0.006596164338022874,0.001093264026986575
188,RandomForest,0.002307538028035538,0.16098336280730868
188,GradientBoosting,0.0015378009406381056,0.12446291294055153
188,SVR,0.006210486386196479,0.23655496830207734
198,RandomForest,0.009754618153067903,2.1311374888873242
198,GradientBoosting,0.010955201820623085,2.1876452822859798
198,SVR,0.011258535844382479,2.1867587830731474
200,RandomForest,0.00958808134988905,0.014498675288759285
200,GradientBoosting,0.011122729337007017,0.01439585678359608
200,SVR,0.011702011906450146,0.014361603296961074
204,RandomForest,0.02270661213571206,0.05367704225047657
204,GradientBoosting,0.021161570454520842,0.05758013925537015
204,SVR,0.08680329391671714,0.06816046242462263
205,RandomForest,0.03176135085343531,0.016848217410899525
205,GradientBoosting,0.03624160287125529,0.01640112825228031
205,SVR,0.048037040246811116,0.023914154577337574
209,RandomForest,0.009931187974348141,1.813989530827514
209,GradientBoosting,0.010942405269869544,2.2014807439954986
209,SVR,0.01135288917630295,2.268759125160065
21,RandomForest,0.014605311184111217,0.20340327807846614
21,GradientBoosting,0.0074880910971855145,0.1634684074710938
21,SVR,0.05062534642412238,1.2434891196466225
211,RandomForest,0.009755958490977336,0.01139647383739733
211,GradientBoosting,0.010919956014096725,0.011414408907804189
211,SVR,0.013921793099603385,0.013157998590347855
212,RandomForest,0.007056793410968775,0.010748382320458622
212,GradientBoosting,0.009597558607961958,0.010497141649641505
212,SVR,0.010847114662778472,0.010465337296242749
217,RandomForest,0.042390633422621525,0.8905882329600864
217,GradientBoosting,0.011007990141707636,1.3829914831021972
217,SVR,0.08203247359113464,2.4485631778256693
218,RandomForest,0.009589698190904928,2.06378435683893
218,GradientBoosting,0.010591433138901958,2.3658642038004856
218,SVR,0.010996107902734954,2.231906903303693
227,RandomForest,0.037445092877039655,0.01818187836923648
227,GradientBoosting,0.04047638101011575,0.0180686781969825
227,SVR,0.04952658265793842,0.022051503700025628
23,RandomForest,0.011328601601027744,0.046996360175201084
23,GradientBoosting,0.014984500785991842,0.058863597857401445
23,SVR,0.08158495434150408,0.3456642199789942
242,RandomForest,0.010181298799772805,0.010896010202031134
242,GradientBoosting,0.011335776498108852,0.010790467053650244
242,SVR,0.011763986995344013,0.010853187526832824
246,RandomForest,0.004336840655235773,0.019750040985966156
246,GradientBoosting,0.002531900884493152,0.020339002770792054
246,SVR,0.009855944607295252,0.014563714200559706
251,RandomForest,0.021292415949348782,0.012851229341163447
251,GradientBoosting,0.0054021676620331785,0.012132193125706667
251,SVR,0.03267609390907943,0.0111985775355731
256,RandomForest,0.004789847686120524,0.004675329600076611
256,GradientBoosting,0.005363292031567353,0.004629995107641502
256,SVR,0.0321738778665423,0.26678276905496057
272,RandomForest,0.0059343504597930245,0.010837439824172927
272,GradientBoosting,0.010932986109641,0.010901971764824832
272,SVR,0.01550174478744585,0.016679662019329515
287,RandomForest,0.001982752257076589,0.01056675880208381
287,GradientBoosting,0.003588652224804424,0.0535658618847814
287,SVR,0.004506525739182305,0.04984942061943339
29,RandomForest,0.016617609158411973,0.029980821822006464
29,GradientBoosting,0.025371001499567638,0.03286363994089368
29,SVR,0.032027639811853276,0.039628495769198704
290,RandomForest,0.03797997545919799,0.07486407514339136
290,GradientBoosting,0.0560156916871035,0.07537317711033215
290,SVR,0.06334703285674533,0.08893205998355891
294,RandomForest,0.0038046255178170994,0.01127141219997757
294,GradientBoosting,0.005680174108150128,0.010087901446857731
294,SVR,0.018371332114872855,0.014239238894762347
297,RandomForest,0.007343553924411467,0.25962180443259325
297,GradientBoosting,0.00044987114127262957,0.20576614228707474
297,SVR,0.03021646154970539,0.5571982627805488
300,RandomForest,0.02046410693273111,0.05670137683047608
